		X                 	 Y 		              Z
-2.633715671774675E-03 -5.504995615022769E-03 1.232515878341859E-04
-2.626679631552087E-03 -5.504222800408035E-03 1.231114299590916E-04
-2.619646686007707E-03 -5.503439684740990E-03 1.229712631626778E-04
-2.612616866138960E-03 -5.502646288301925E-03 1.228310863485556E-04
-2.605590200263551E-03 -5.501842629882668E-03 1.226908983115080E-04
-2.598566714544201E-03 -5.501028726607064E-03 1.225506978020324E-04
-2.591546433467396E-03 -5.500204593850956E-03 1.224104835785511E-04
-2.584529380274555E-03 -5.499370245237964E-03 1.222702544490624E-04
-2.577515577340621E-03 -5.498525692692571E-03 1.221300093033070E-04
-2.570505046500027E-03 -5.497670946534309E-03 1.219897471367525E-04
-2.563497809322352E-03 -5.496806015599900E-03 1.218494670676840E-04
