		X                 	 Y 		              Z
-4.137385121784155E-03 -5.448769781749683E-03 1.518043569844191E-04
-4.130009500788959E-03 -5.450160112053605E-03 1.516665926067337E-04
-4.122632278010998E-03 -5.451539717664549E-03 1.515286939126310E-04
-4.115253467106861E-03 -5.452908543548586E-03 1.513906631155735E-04
-4.107873083210496E-03 -5.454266532672415E-03 1.512525027244734E-04
-4.100491143254442E-03 -5.455613625839122E-03 1.511142155887652E-04
-4.093107666365596E-03 -5.456949761556783E-03 1.509758049476231E-04
-4.085722674337247E-03 -5.458274875957754E-03 1.508372744820344E-04
-4.078336192175733E-03 -5.459588902789553E-03 1.506986283678489E-04
-4.070948248717199E-03 -5.460891773504558E-03 1.505598713271781E-04
-4.063558877301933E-03 -5.462183417478875E-03 1.504210086745020E-04
-4.056168116482239E-03 -5.463463762390462E-03 1.502820463528239E-04
-4.048776010726843E-03 -5.464732734782370E-03 1.501429909543639E-04
-4.041382611072090E-03 -5.465990260828463E-03 1.500038497198024E-04
-4.033987975659603E-03 -5.467236267305586E-03 1.498646305102248E-04
-4.026592170093395E-03 -5.468470682757720E-03 1.497253417467870E-04
-4.019195267548668E-03 -5.469693438813408E-03 1.495859923150647E-04
-4.011797348571222E-03 -5.470904471587570E-03 1.494465914340959E-04
-4.004398500527032E-03 -5.472103723073511E-03 1.493071484941186E-04
-3.996998816710569E-03 -5.473291142427148E-03 1.491676728717810E-04
-3.989598395111839E-03 -5.474466687035352E-03 1.490281737316600E-04
-3.982197336950992E-03 -5.475630323257586E-03 1.488886598331311E-04
-3.974795745054387E-03 -5.476782026794508E-03 1.487491393531413E-04
-3.967393722197474E-03 -5.477921782648552E-03 1.486096197392488E-04
-3.959991369542053E-03 -5.479049584690019E-03 1.484701076035086E-04
-3.952588785270441E-03 -5.480165434888410E-03 1.483306086617456E-04
-3.945186063488750E-03 -5.481269342295783E-03 1.481911277177225E-04
-3.937783293438569E-03 -5.482361321880184E-03 1.480516686878047E-04
-3.930380559023994E-03 -5.483441393305333E-03 1.479122346588950E-04
-3.922977938631909E-03 -5.484509579741273E-03 1.477728279706800E-04
-3.915575505200751E-03 -5.485565906772271E-03 1.476334503126776E-04
-3.908173326479530E-03 -5.486610401446179E-03 1.474941028271169E-04
-3.900771465417599E-03 -5.487643091486704E-03 1.473547862104438E-04
-3.893369980639529E-03 -5.488664004669702E-03 1.472155008091762E-04
-3.885968926968232E-03 -5.489673168355337E-03 1.470762467073942E-04
-3.878568355932706E-03 -5.490670609166810E-03 1.469370238007690E-04
-3.871168316270122E-03 -5.491656352782908E-03 1.467978318607313E-04
-3.863768854383318E-03 -5.492630423830726E-03 1.466586705862916E-04
-3.856370014751795E-03 -5.493592845854555E-03 1.465195396453069E-04
-3.848971840290909E-03 -5.494543641342315E-03 1.463804387062388E-04
-3.841574372659124E-03 -5.495482831793123E-03 1.462413674617128E-04
-3.834177652515533E-03 -5.496410437812777E-03 1.461023256451751E-04
-3.826781719731374E-03 -5.497326479226488E-03 1.459633130418498E-04
-3.819386613560245E-03 -5.498230975200659E-03 1.458243294951048E-04
-3.811992372771946E-03 -5.499123944367451E-03 1.456853749091898E-04
-3.804599035754876E-03 -5.500005404947666E-03 1.455464492491510E-04
-3.797206640591538E-03 -5.500875374868803E-03 1.454075525386153E-04
-3.789815225111259E-03 -5.501733871876232E-03 1.452686848559712E-04
-3.782424826923782E-03 -5.502580913636240E-03 1.451298463293976E-04
-3.775035483437091E-03 -5.503416517830107E-03 1.449910371311025E-04
-3.767647231862404E-03 -5.504240702238911E-03 1.448522574710797E-04
